"African"	"AfricanxMfalcata"	"AfricanxPeruvian"	"Chilean"	"ChileanSeedInc"	"ChileanxMfalcata"	"Ezra"	"Flemish"	"Indian"	"IndianxLadak"	"Ladak"	"Mfalcata"	"MfalcataSeedInc"	"MfalcataxPeruvian"	"Mvaria"	"NY1430"	"NY1517"	"NY1518"	"OneidaVR"	"Peruvian"	"Regen"	"SW315LH"	"Turkistan"	"Vernal"	"AfricanxChileanEst"	"AfricanxFlemishEst"	"AfricanxIndianEst"	"AfricanxLadakEst"	"AfricanxMfalcataEst"	"AfricanxMvariaEst"	"AfricanxPeruvianEst"	"AfricanxTurkistanEst"	"ChileanxFlemishEst"	"ChileanxIndianEst"	"ChileanxLadakEst"	"ChileanxMfalcataEst"	"ChileanxMvariaEst"	"ChileanxPeruvianEst"	"ChileanxTurkistanEst"	"FlemishxIndianEst"	"FlemishxLadakEst"	"FlemishxMfalcataEst"	"FlemishxMvariaEst"	"FlemishxPeruvianEst"	"FlemishxTurkistanEst"	"IndianxLadakEst"	"IndianxMfalcataEst"	"IndianxMvariaEst"	"IndianxPeruvianEst"	"IndianxTurkistanEst"	"LadakxMfalcataEst"	"LadakxMvariaEst"	"LadakxPeruvianEst"	"LadakxTurkistanEst"	"MfalcataxMvariaEst"	"MfalcataxPeruvianEst"	"MfalcataxTurkistanEst"	"MvariaxPeruvianEst"	"MvariaxTurkistanEst"	"PeruvianxTurkistanEst"
"MfalcataSeedInc"	-0.164764191388316	-0.0590428650525363	-0.169385425561241	-0.166797844732707	-0.171735676192077	-0.0622945512221378	-0.145015574396626	-0.150933015495707	-0.168813387097913	-0.141964024343885	-0.11569786741993	0.0982274888548116	0.113212538745478	-0.0591495925558484	-0.135448151187501	-0.14744993427539	-0.144003794704882	-0.147339795687578	-0.144459235440303	-0.168635951151939	-0.143491875726805	-0.132268585627047	-0.140166529911652	-0.115840787464206	-0.165781018060511	-0.157848603442012	-0.166788789243115	-0.140231029404123	-0.0332683512667522	-0.150106171287908	-0.166700071270128	-0.152465360649984	-0.158865430114207	-0.16780561591531	-0.141247856076319	-0.0342851779389475	-0.151122997960104	-0.167716897942323	-0.153482187322179	-0.15987320129681	-0.133315441457819	-0.0263527633204479	-0.143190583341604	-0.159784483323823	-0.145549772703679	-0.142255627258922	-0.0352929491215507	-0.152130769142707	-0.168724669124926	-0.154489958504782	-0.00873518928255936	-0.125573009303715	-0.142166909285935	-0.127932198665791	-0.0186103311663445	-0.0352042311485637	-0.02096952052842	-0.15204205116972	-0.137807340549576	-0.154401240531795
"MfalcataxPeruvian"	-0.0378644300829904	-0.0374733787613245	-0.0361285659919342	-0.0350725607712617	-0.0412332580825204	-0.0429755759730726	-0.0520568060148448	-0.0447635933285181	-0.0409919820215707	-0.0378978623546378	-0.0458780705997022	-0.0441652986614908	-0.0591495925558484	-0.0222538482601702	-0.0417112749492811	-0.0518925539553908	-0.0560364103211572	-0.054653151938524	-0.0482684854576182	-0.0358495246007955	-0.0528129638000246	-0.0581486416884935	-0.0305622559794579	-0.045735786723547	-0.036468495427126	-0.0413140117057543	-0.0394282060522805	-0.0418712503413463	-0.0410148643722406	-0.0397878525161358	-0.0368569773418929	-0.0342133430312242	-0.0399180770498899	-0.0380322713964162	-0.0404753156854819	-0.0396189297163763	-0.0383919178602714	-0.0354610426860286	-0.0328174083753598	-0.0428777876750444	-0.0453208319641102	-0.0444644459950045	-0.0432374341388996	-0.0403065589646568	-0.037662924653988	-0.0434350263106364	-0.0425786403415308	-0.0413516284854259	-0.0384207533111831	-0.0357771190005143	-0.0450216846305965	-0.0437946727744917	-0.0408637976002488	-0.0382201632895801	-0.042938286805386	-0.0400074116311432	-0.0373637773204744	-0.0387803997750383	-0.0361367654643695	-0.0332058902901267
"Mvaria"	0.0242221312709296	-0.0327616094519224	0.0222912021982384	0.0278918834855483	0.0212064433956459	-0.0411038144529681	0.00375837130048951	0.0157079750696162	0.0213778934629127	0.0171677601201836	-0.00335136148193876	-0.121680917677964	-0.135448151187501	-0.0417112749492811	0.051055994010088	0.00316652778969419	-0.00331082000139173	-0.000849659917298908	0.00683519827664431	0.0208635321156686	0.00151473823772144	-0.0103953714670255	0.0300870300882162	-0.00295635746664715	0.0260570073782389	0.0199650531702729	0.0228000123669212	0.0104353848944954	-0.0487293932035173	0.0475249050391438	0.0225428316932991	0.0271545806795729	0.0217999292775822	0.0246348884742305	0.0122702610018047	-0.046894517096208	0.0493597811464532	0.0243777078006084	0.0289894567868822	0.0185429342662645	0.00617830679383874	-0.052986471304174	0.0432678269384872	0.0182857535926424	0.0228975025789162	0.00901326599048697	-0.0501515121075257	0.0461027861351354	0.0211207127892906	0.0257324617755644	-0.0625161395799515	0.0337381586627097	0.00875608531686491	0.0133678343031387	-0.0254266194353031	-0.0504086927811478	-0.045796943794874	0.0458456054615133	0.0504573544477871	0.0254752811019424
"NY1430"	0.0147347304814667	-0.0427927983229701	0.0131662268419977	0.0194510764934839	0.0136552208952382	-0.0497695347480916	0.0116542253109991	0.0081857054710105	0.0124093191641619	0.0077730379530337	-0.0129310345835538	-0.132816844128969	-0.14744993427539	-0.0518925539553908	0.00316652778969419	0.0342425119581293	0.00233581990448473	0.00485151430081662	0.0119411848331002	0.0117586699508142	0.00625595045393135	-0.011366235770241	0.0205645817633959	-0.0100046144929921	0.0170929034874753	0.0114602179762386	0.0135720248228143	0.00090184794895646	-0.0590410568237512	0.00895062913558046	0.0132467002161405	0.0176496561224313	0.0138183909822472	0.0159301978288229	0.00326002095496503	-0.0566828838177426	0.011308802141589	0.015604873222149	0.0200078291284399	0.0102975123175862	-0.00237266455627165	-0.0623155693289793	0.00567611663035235	0.00997218771091236	0.0143751436172032	-0.000260857709695971	-0.0602037624824036	0.00778792347692803	0.012083994557488	0.0164869504637789	-0.0728739393562614	-0.00488225339692981	-0.000586182316369799	0.00381677358992106	-0.0648251581696374	-0.0605290870890774	-0.0561261311827866	0.0074625988702542	0.0118655547765451	0.0161616258571051
"NY1517"	0.00467852165621281	-0.0471917452544597	0.00440533758303328	0.010605490955201	0.00444007759114488	-0.0536765767216162	0.00224779986633492	0.00014252602034991	0.00191980308668844	0.000497578323657054	-0.0189347276570143	-0.129521418954923	-0.144003794704882	-0.0560364103211572	-0.00331082000139173	0.00233581990448473	0.0285711984637393	0.000813415285444369	0.00271150092170131	0.00271158898211509	-0.00346091151286596	-0.00448491641739106	0.0117805260940341	-0.0144046490317528	0.00764200630570688	0.00241052383828136	0.00329916237145062	-0.00712810300040076	-0.0624214486493551	0.000683850827410534	0.00369505531916395	0.00822952387512343	0.00537400848777543	0.0062626470209447	-0.00416461835090668	-0.059457963999861	0.00364733547690461	0.00665853996865802	0.0111930085246175	0.00103116455351918	-0.0093961008183322	-0.0646894464672865	-0.00158414699052091	0.0014270575012325	0.00596152605719198	-0.00850746228516294	-0.0638008079341173	-0.000695508457351647	0.00231569603440177	0.00685016459036125	-0.0742280733059686	-0.011122773829203	-0.00811156933744961	-0.00357710078149013	-0.0664161194781574	-0.063404914986404	-0.0588704464304445	-0.000299615509638322	0.00423485304632116	0.00724605753807457
"NY1518"	0.00951964946610809	-0.045830273224225	0.00921602800169076	0.0156974262861195	0.0101237432733953	-0.0514390498825853	0.00561910431208418	0.00492950019278224	0.00760774955390469	0.0044847551568876	-0.0148131541348765	-0.136136057735208	-0.147339795687578	-0.054653151938524	-0.000849659917298908	0.00485151430081662	0.000813415285444369	0.0202362037713875	0.00488055560894603	0.00884694254483462	0.00199369655958658	-0.0150485357376689	0.0159133865874619	-0.0128110067617553	0.0126085378761138	0.00722457482944516	0.00856369951000639	-0.00264675233438421	-0.0633082041345502	0.00433499477440459	0.00918329600547135	0.012716518026785	0.0103134632394509	0.0116525879200121	0.000442136075621498	-0.0602193157245444	0.0074238831844103	0.0122721844154771	0.0158054064367907	0.00626862487334346	-0.00494182697104714	-0.0656032787712131	0.00203992013774167	0.00688822136880843	0.0104214433901221	-0.00360270229048591	-0.0642641540906519	0.00337904481830289	0.00822734604936965	0.0117605680706833	-0.0754746059350425	-0.00783140702608771	-0.00298310579502095	0.000550116226292687	-0.0684928588262537	-0.0636445575951869	-0.0601113355738732	0.00399864131376786	0.00753186333508149	0.0123801645661483
"OneidaVR"	0.0190952992269584	-0.0390586820928182	0.0172248062969787	0.0234208619704184	0.01665737818929	-0.0465756413362792	0.0111298329464014	0.0126584977752611	0.0163143505352302	0.0127313108674271	-0.00875817897179375	-0.13032453594958	-0.144459235440303	-0.0482684854576182	0.00683519827664431	0.0119411848331002	0.00271150092170131	0.00488055560894603	0.0301779989077193	0.0157988181613856	0.00605694240098359	-0.0094934390281277	0.0242938633856335	-0.00612704709959051	0.0212580805986884	0.0158768985011097	0.0177048248810943	0.00516856012758231	-0.0556146183613108	0.0129652487518013	0.017447058694172	0.0216945813062959	0.0180396798728398	0.0198676062528243	0.00733134149931233	-0.0534518369895808	0.0151280301235314	0.019609840065902	0.023857362678026	0.0144864241552457	0.00195015940173368	-0.0588330190871595	0.00974684802595271	0.0142286579683234	0.0184761805804473	0.00377808578171822	-0.0570050927071749	0.0115747744059373	0.0160565843483079	0.0203041069604319	-0.0695413574606869	-0.000961490347574723	0.00352031959479594	0.00776784220691988	-0.0617446688364679	-0.0572628588940972	-0.0530153362819733	0.011317008219015	0.0155645308311389	0.0200463407735096
"Peruvian"	0.0523549064837359	-0.0300278510628267	0.0567293814001262	0.0575667476276223	0.0525216873773604	-0.0371982557781583	0.0115952535034221	0.0279822125758902	0.0505259806774582	0.0345841330862963	0.00121342174083971	-0.156851961692775	-0.168635951151939	-0.0358495246007955	0.0208635321156686	0.0117586699508142	0.00271158898211509	0.00884694254483462	0.0157988181613856	0.0781389355185221	0.0104432926545009	-0.00872662246835825	0.0475748957327397	0.00033279204680379	0.0549608270556791	0.040168559529813	0.0514404435805971	0.0267841641122878	-0.0522485276045196	0.0366092192997022	0.0776452233406331	0.0499649011082378	0.0427744801017562	0.0540463641525403	0.029390084684231	-0.0496426070325764	0.0392151398716454	0.0802511439125763	0.052570821680181	0.0392540966266742	0.0145978171583649	-0.0644348745584424	0.0244228723457794	0.0654588763867103	0.037778554154315	0.025869701209149	-0.0531629905076584	0.0356947563965634	0.0767307604374943	0.049050438205099	-0.0778192699759677	0.0110384769282541	0.052074480969185	0.0243941587367897	-0.0679942147885532	-0.0269582107476223	-0.0546385329800176	0.0618995361565995	0.0342192139242042	0.0752552179651351
"Regen"	0.0118910055089997	-0.0431739026781191	0.010521578222968	0.0152534798394757	0.01026769426643	-0.049861448209077	0.0100311063487255	0.00718776756289021	0.00881091471886912	0.00675609347270154	-0.0127849624679087	-0.131162656533769	-0.143491875726805	-0.0528129638000246	0.00151473823772144	0.00625595045393135	-0.00346091151286596	0.00199369655958658	0.00605694240098359	0.0104432926545009	0.0221183034349473	-0.0108855887079148	0.0177425928778685	-0.0100156171982295	0.0135722426742377	0.00953938653594496	0.0103509601139344	-0.000446978479454482	-0.0596358255123845	0.00670287187336058	0.0111671490817503	0.0148167991934341	0.011220623701183	0.0120321972791724	0.00123425868578352	-0.0579545883471465	0.00838410903859858	0.0128483862469883	0.0164980363586721	0.00799934114087967	-0.00279859745250923	-0.0619874444854393	0.00435125290030583	0.00881553010869556	0.0124651802203794	-0.00198702387451978	-0.0611758709074498	0.00516282647829528	0.00962710368668502	0.0132767537983688	-0.0719738095008387	-0.00563511211509361	-0.00117083490670388	0.00247881520497991	-0.0648239591480237	-0.0603596819396339	-0.0567100318279501	0.00597901544611118	0.00962866555779497	0.0140929427661847
"SW315LH"	-0.0067563029736986	-0.0496270559586845	-0.00842115215273945	-0.00354357540973466	-0.0101947347631357	-0.0567025071050941	-0.00830117876938301	-0.00848313613843685	-0.0110032558330501	-0.0095651789778975	-0.0235825847069672	-0.118628230778357	-0.132268585627047	-0.0581486416884935	-0.0103953714670255	-0.011366235770241	-0.00448491641739106	-0.0150485357376689	-0.0094934390281277	-0.00872662246835825	-0.0108855887079148	0.0206815120051265	0.00104815606654317	-0.0198574504146792	-0.00514993919171663	-0.00761971955606772	-0.00887977940337437	-0.0151694438403329	-0.0626922668760279	-0.00857583722036206	-0.00774146272102842	-0.00285407345357771	-0.00601335577408575	-0.0072734156213924	-0.0135630800583509	-0.061085903094046	-0.00696947343838009	-0.00613509893904645	-0.00124770967159574	-0.00974319598574349	-0.016032860422702	-0.0635556834583971	-0.00943925380273119	-0.00860487930339754	-0.00371749003594684	-0.0172929202700087	-0.0648157433057037	-0.0106993136500378	-0.00986493915070419	-0.00497754988325349	-0.0711054077426623	-0.0169889780869964	-0.0161546035876627	-0.011267214320212	-0.0645118011226914	-0.0636774266233578	-0.0587900373559071	-0.00956099696769189	-0.00467360770024118	-0.00383923320090754
